category,commodity,source_method,cost_basis,cost_text,meaningful_metric,driver_extraction,driver_processing,driver_energy_reagents,driver_logistics,driver_fiscal_esg,driver_structural,is_byproduct,drivers_raw,vintage
Coal & Lignite,Peat,Surface cutting / dredging of bogs (negligible in India; mainly Nilgiris/Kashmir),Per tonne (air-dried),~$5-15/t (very localised),$/GJ; rarely a traded fuel,"shallow, hand/excavator cutting; very high in-situ moisture.",extensive sun/air drying — drying is the swing cost.,minimal mechanisation.,very low energy density => uneconomic to transport far.,"wetland/peatland protection, high carbon-release sensitivity.","marginal fuel, mostly horticultural use.",FALSE,"EXTRACTION: shallow, hand/excavator cutting; very high in-situ moisture. PROCESSING: extensive sun/air drying — drying is the swing cost. ENERGY/REAGENTS: minimal mechanisation. LOGISTICS: very low energy density => uneconomic to transport far. FISCAL/ESG: wetland/peatland protection, high carbon-release sensitivity. STRUCTURAL: marginal fuel, mostly horticultural use.",2025-26
Coal & Lignite,Lignite (brown coal),"Open-pit; bucket-wheel/dragline (Neyveli TN, Gujarat, Rajasthan)",Per tonne ROM,~$8-20/t (usually mine-mouth),"$/GJ, mine-mouth","very high overburden:lignite ratio; soft, water-bearing strata needing heavy dewatering; large continuous-excavation systems.",high moisture & low GCV => mine-mouth power siting rather than transport.,electricity for dewatering pumps & conveyors; diesel for fleet.,short-haul conveyor to adjacent power plant.,"very large surface footprint, rehabilitation & land/R&R (India).",integration with captive power station dictates economics.,FALSE,"EXTRACTION: very high overburden:lignite ratio; soft, water-bearing strata needing heavy dewatering; large continuous-excavation systems. PROCESSING: high moisture & low GCV => mine-mouth power siting rather than transport. ENERGY/REAGENTS: electricity for dewatering pumps & conveyors; diesel for fleet. LOGISTICS: short-haul conveyor to adjacent power plant. FISCAL/ESG: very large surface footprint, rehabilitation & land/R&R (India). STRUCTURAL: integration with captive power station dictates economics.",2025-26
Coal & Lignite,Sub-bituminous coal,Open-pit / strip (e.g. US PRB analogue; some Indian basins),Per tonne saleable,~$10-22/t FOB mine,$/GJ at given CV,strip ratio & overburden blastability; seam thickness/continuity.,moderate moisture; limited washing.,diesel (haulage) + explosives dominate.,rail haul cost can exceed mine-gate price.,"royalties, dust/water compliance, closure.",low sulphur often a selling point; CV drives $/GJ.,FALSE,"EXTRACTION: strip ratio & overburden blastability; seam thickness/continuity. PROCESSING: moderate moisture; limited washing. ENERGY/REAGENTS: diesel (haulage) + explosives dominate. LOGISTICS: rail haul cost can exceed mine-gate price. FISCAL/ESG: royalties, dust/water compliance, closure. STRUCTURAL: low sulphur often a selling point; CV drives $/GJ.",2025-26
Coal & Lignite,Bituminous - thermal / steam (non-coking),Open-pit & underground (bulk of Indian Coal India output),Per tonne saleable,~$12-35/t FOB mine (India G-grade dependent),$/GJ; India GCV bands G1-G17 set notified price,strip ratio (open-pit) or seam depth & support (underground); dilution & seam continuity.,washing/beneficiation yield to hit ash spec (Indian coal is high-ash).,"diesel, electricity, explosives; wash-plant power.",rail to pithead-distant plants; evacuation bottlenecks.,royalty + GST compensation cess + DMF/NMET levies; land acquisition & R&R.,GCV band sets notified price; e-auction premium; mega-mine scale lowers unit cost.,FALSE,"EXTRACTION: strip ratio (open-pit) or seam depth & support (underground); dilution & seam continuity. PROCESSING: washing/beneficiation yield to hit ash spec (Indian coal is high-ash). ENERGY/REAGENTS: diesel, electricity, explosives; wash-plant power. LOGISTICS: rail to pithead-distant plants; evacuation bottlenecks. FISCAL/ESG: royalty + GST compensation cess + DMF/NMET levies; land acquisition & R&R. STRUCTURAL: GCV band sets notified price; e-auction premium; mega-mine scale lowers unit cost.",2025-26
Coal & Lignite,Bituminous - coking / metallurgical,Underground longwall or open-pit (scarce in India; largely imported),Per tonne saleable (washed),~$80-140/t cost of sales,$/t by quality tier (premium hard coking > PCI > SSCC),"seam depth, methane gas (drainage), geotechnical/outburst risk; underground ventilation & support; longwall move frequency.","washability & low yield after washing; quality spec (CSR/CSN, ash, S, volatile matter) is decisive.","high — wash plant, ventilation, support.",to coke ovens/steel plants; port for imports.,"royalty, safety regulation (gassy mines), closure.",India imports most coking coal => price exposed to seaborne premium.,FALSE,"EXTRACTION: seam depth, methane gas (drainage), geotechnical/outburst risk; underground ventilation & support; longwall move frequency. PROCESSING: washability & low yield after washing; quality spec (CSR/CSN, ash, S, volatile matter) is decisive. ENERGY/REAGENTS: high — wash plant, ventilation, support. LOGISTICS: to coke ovens/steel plants; port for imports. FISCAL/ESG: royalty, safety regulation (gassy mines), closure. STRUCTURAL: India imports most coking coal => price exposed to seaborne premium.",2025-26
Coal & Lignite,Anthracite,Underground / deep open-pit (negligible in India; some imports),Per tonne saleable,"~$90-200/t (niche, quality-dependent)",$/t by fixed-carbon & lump spec,"deep, often steep/folded seams => low productivity; high development cost.",sizing/screening for lump premium; low volatiles.,underground power & support intensive.,specialised metallurgical/heating markets.,deep-mine safety; closure.,"small, premium market (sinter, water filtration, specialty metallurgy).",FALSE,"EXTRACTION: deep, often steep/folded seams => low productivity; high development cost. PROCESSING: sizing/screening for lump premium; low volatiles. ENERGY/REAGENTS: underground power & support intensive. LOGISTICS: specialised metallurgical/heating markets. FISCAL/ESG: deep-mine safety; closure. STRUCTURAL: small, premium market (sinter, water filtration, specialty metallurgy).",2025-26
Base Metals,Copper,Open-pit (porphyry) + flotation; underground for high-grade/deep,Per tonne ore milled / per tonne Cu,"Ore: ~$8-20/t open-pit, $30-60/t underground. Metal: C1 ~$2.00-2.75/lb (~$4,400-6,000/t Cu)","C1 / AISC per lb Cu (AISC ~$1,400-3,000/t net of credits)",ore grade (%Cu) is dominant; strip ratio; depth/UG transition; ore hardness (Bond Wi).,comminution (crush+grind = bulk of mill opex); recovery & mineralogy (sulphide flotation vs oxide SX-EW leach).,"power (grinding) 25-40% of opex; reagents (collectors, lime, frother), acid for oxide.",concentrate freight + smelter TC/RC.,"tailings dam safety, water/desalination, royalties.","by-product credits (Au, Ag, Mo) can halve net cost; grade decline raises tonnes/unit metal.",FALSE,"EXTRACTION: ore grade (%Cu) is dominant; strip ratio; depth/UG transition; ore hardness (Bond Wi). PROCESSING: comminution (crush+grind = bulk of mill opex); recovery & mineralogy (sulphide flotation vs oxide SX-EW leach). ENERGY/REAGENTS: power (grinding) 25-40% of opex; reagents (collectors, lime, frother), acid for oxide. LOGISTICS: concentrate freight + smelter TC/RC. FISCAL/ESG: tailings dam safety, water/desalination, royalties. STRUCTURAL: by-product credits (Au, Ag, Mo) can halve net cost; grade decline raises tonnes/unit metal.",2025-26
Base Metals,Aluminium (Bauxite-Alumina-Al),Bauxite open-pit -> Bayer alumina refining -> Hall-Heroult smelting,Per tonne aluminium (3-stage chain),"Bauxite ~$15-35/t; alumina ~$250-400/t; primary Al cash cost ~$1,800-2,400/t",$/t Al; electricity is the master driver,"bauxite overburden ratio, Al2O3 grade, reactive silica, moisture.","Bayer (caustic soda, energy for digestion) then smelting.","SMELTING ELECTRICITY is ~30-40% of metal cost — power contract/grid carbon is decisive; caustic soda, carbon anodes, alumina feed.",bauxite->refinery->smelter proximity; ocean freight.,"red-mud (bauxite residue) disposal, PFC/CO2 emissions, carbon price.",captive vs grid power separates low-cost from high-cost smelters.,FALSE,"EXTRACTION: bauxite overburden ratio, Al2O3 grade, reactive silica, moisture. PROCESSING: Bayer (caustic soda, energy for digestion) then smelting. ENERGY/REAGENTS: SMELTING ELECTRICITY is ~30-40% of metal cost — power contract/grid carbon is decisive; caustic soda, carbon anodes, alumina feed. LOGISTICS: bauxite->refinery->smelter proximity; ocean freight. FISCAL/ESG: red-mud (bauxite residue) disposal, PFC/CO2 emissions, carbon price. STRUCTURAL: captive vs grid power separates low-cost from high-cost smelters.",2025-26
Base Metals,Lead,Underground (often with zinc/silver) + flotation,Per tonne ore milled / per tonne Pb,Ore: ~$30-60/t. Metal: C1 frequently NEGATIVE after credits,C1 per lb Pb (silver credits often dominate),"grade (%Pb), depth, ground support & backfill.",differential flotation (Pb/Zn separation) complexity; concentrate grade.,"ventilation, pumping at depth; flotation reagents.",concentrate to smelter; TC/RC & penalty elements.,"lead toxicity controls, tailings.",SILVER by-product credit often makes lead C1 negative; smelter payability terms key.,FALSE,"EXTRACTION: grade (%Pb), depth, ground support & backfill. PROCESSING: differential flotation (Pb/Zn separation) complexity; concentrate grade. ENERGY/REAGENTS: ventilation, pumping at depth; flotation reagents. LOGISTICS: concentrate to smelter; TC/RC & penalty elements. FISCAL/ESG: lead toxicity controls, tailings. STRUCTURAL: SILVER by-product credit often makes lead C1 negative; smelter payability terms key.",2025-26
Base Metals,Zinc,Underground (Hindustan Zinc) + flotation,Per tonne ore milled / per tonne Zn,Ore: ~$30-60/t. Metal: C1 ~$0.80-1.20/lb net of credits,C1 / AISC per lb Zn,"grade (%Zn), depth, development & paste backfill.",flotation to concentrate; recovery.,deep-mine ventilation/pumping; smelting electrolysis is power-intensive.,concentrate to smelter; TC/RC.,"tailings, water, royalties.",silver/lead by-product credits; smelter payability & sulphuric-acid by-product economics.,FALSE,"EXTRACTION: grade (%Zn), depth, development & paste backfill. PROCESSING: flotation to concentrate; recovery. ENERGY/REAGENTS: deep-mine ventilation/pumping; smelting electrolysis is power-intensive. LOGISTICS: concentrate to smelter; TC/RC. FISCAL/ESG: tailings, water, royalties. STRUCTURAL: silver/lead by-product credits; smelter payability & sulphuric-acid by-product economics.",2025-26
